CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamp:P50060,ima kolektivnog agenta restauratora,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji je preinačio primjerak kako bi zaustavio njegovo propadanje i vratio ga u stanje najbliže onome kakvo je bilo u određenom razdoblju njegove prošlosti.,kamp:P50035,kamka:C10008,kamka:P80171
kamp:P50061,ima korporativno tijelo restauratora,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje je preinačilo primjerak kako bi zaustavilo njegovo propadanje i vratilo ga u stanje najbliže onome kakvo je bilo u određenom razdoblju njegove prošlosti.,kamp:P50036,kamkt:C10009,kamkt:P90169
kamp:P50062,ima obitelj restauratora,kamp:C10005,Povezuje primjerak s obitelji koja je preinačila primjerak kako bi zaustavila njegovo propadanje i vratila ga u stanje najbliže onome kakvo je bilo u određenom razdoblju njegove prošlosti.,kamp:P50037,kamob:C10010,kamob:P10168
kamp:P50063,ima agenta rubrikatora,kamp:C10005,Povezuje primjerak s agentom koji je oblikovao i ukrasio početna slova (inicijale) teksta u rukopisima i prvim tiskanim knjigama.,kamp:P50033,kama:C10006,kama:P60169
kamp:P50064,ima osobu rubrikatora,kamp:C10005,Povezuje primjerak s osobom koja je oblikovala i ukrasila početna slova (inicijale) teksta u rukopisima i prvim tiskanim knjigama.,kamp:P50034,kamo:C10007,kamo:P70178
kamp:P50065,ima kolektivnog agenta rubrikatora,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji je oblikovao i ukrasio početna slova (inicijale) teksta u rukopisima i prvim tiskanim knjigama.,kamp:P50035,kamka:C10008,kamka:P80172
kamp:P50066,ima korporativno tijelo rubrikatora,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje je oblikovalo i ukrasilo početna slova (inicijale) teksta u rukopisima i prvim tiskanim knjigama.,kamp:P50036,kamkt:C10009,kamkt:P90170
kamp:P50067,ima agenta koji je stručno obradio primjerak,kamp:C10005,"Povezuje primjerak s agentom koji je odgovoran za inventarizaciju i/ili stručnu obradu primjerka, uključujući unos podataka o primjerku u informacijski sustav.",kamp:P50025,kama:C10006,kama:P60170
kamp:P50068,ima osobu koja je stručno obradila primjerak,kamp:C10005,"Povezuje primjerak s osobom koja je odgovorna za inventarizaciju i/ili stručnu obradu primjerka, uključujući unos podataka o primjerku u informacijski sustav.",kamp:P50026,kamo:C10007,kamo:P70179
kamp:P50069,ima kolektivnog agenta koji je stručno obradio primjerak,kamp:C10005,"Povezuje primjerak s korporativnim agentom koji je odgovoran za inventarizaciju i/ili stručnu obradu primjerka, uključujući unos podataka o primjerku u informacijski sustav.",kamp:P50027,kamka:C10008,kamka:P80173
kamp:P50070,ima korporativno tijelo koje je stručno obradilo primjerak,kamp:C10005,"Povezuje primjerak s korporativnim tijelom koje je odgovorno za inventarizaciju i/ili stručnu obradu primjerka, uključujući unos podataka o primjerku u informacijski sustav.",kamp:P50028,kamkt:C10009,kamkt:P90171
kamp:P50071,ima obitelj koja je stručno obradila primjerak,kamp:C10005,"Povezuje primjerak s obitelji koja je odgovorna za inventarizaciju i/ili stručnu obradu primjerka, uključujući unos podataka o primjerku u informacijski sustav.",kamp:P50029,kamob:C10010,kamob:P10170
kamp:P50072,ima agenta determinatora,kamp:C10005,Povezuje primjerak s agentom koji je identificirao vrstu kojoj pripada prirodloslovni objekt.,kamp:P50025,kama:C10006,kama:P60171
kamp:P50073,ima osobu determinatora,kamp:C10005,Povezuje primjerak s osobom koja je identificirala vrstu kojoj pripada prirodloslovni objekt.,kamp:P50026,kamo:C10007,kamo:P70180
kamp:P50074,ima kolektivnog agenta determinatora,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji je identificirao vrstu kojoj pripada prirodloslovni objekt.,kamp:P50027,kamka:C10008,kamka:P80174
kamp:P50075,ima korporativno tijelo determinatora,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje je identificiralo vrstu kojoj pripada prirodloslovni objekt.,kamp:P50028,kamkt:C10009,kamkt:P90172
kamp:P50076,ima obitelj determinatora,kamp:C10005,Povezuje primjerak s obitelji koja je identificirala vrstu kojoj pripada prirodloslovni objekt.,kamp:P50029,kamob:C10010,kamob:P10171
kamp:P50077,ima agenta aukcionista,kamp:C10005,Povezuje primjerak s agentom koji je posredovao pri aukcijskoj kupnji primjerka.,kamp:P50025,kama:C10006,kama:P60172
kamp:P50078,ima osobu aukcionista,kamp:C10005,Povezuje primjerak s osobom koja je posredovala pri aukcijskoj kupnji primjerka.,kamp:P50026,kamo:C10007,kamo:P70181
kamp:P50079,ima kolektivnog agenta aukcionista,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji je posredovao pri aukcijskoj kupnji primjerka.,kamp:P50027,kamka:C10008,kamka:P80175
kamp:P50080,ima korporativno tijelo aukcionista,kamp:C10005,Povezuje primjerak s kolektivnim tijelom kojieje posredovalo pri aukcijskoj kupnji primjerka.,kamp:P50028,kamkt:C10009,kamkt:P90173
kamp:P50081,ima obitelj aukcionista,kamp:C10005,Povezuje primjerak s obitelji koja je posredovala pri aukcijskoj kupnji primjerka.,kamp:P50029,kamob:C10010,kamob:P10172
kamp:P50082,ima agenta posjednika,kamp:C10005,Povezuje primjerak s agentom koji posjeduje primjerak i/ili skrbi o primjerku.,kamp:P50025,kama:C10006,kama:P60173
kamp:P50083,ima osobu posjednika,kamp:C10005,Povezuje primjerak s osobom koja posjeduje primjerak i/ili skrbi o primjerku.,kamp:P50026,kamo:C10007,kamo:P70182
kamp:P50084,ima kolektivnog agenta posjednika,kamp:C10005,Povezuje primjerak s kolektivnim agentom koji posjeduje primjerak i/ili skrbi o primjerku.,kamp:P50027,kamka:C10008,kamka:P80176
kamp:P50085,ima korporativno tijelo posjednika,kamp:C10005,Povezuje primjerak s korporativnim tijelom koje posjeduje primjerak i/ili skrbi o primjerku.,kamp:P50028,kamkt:C10009,kamkt:P90174
